"LOCATIE gegevens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","X-coordinaat","Y-coordinaat","CRS","Kaartblad","Bepaling locatie","Maaiveldhoogte (m tov NAP)","Bepaling maaiveldhoogte",,,,,,,,,,,,,,,,,,,,,,
"B52A0162","181081","394970","Rijksdriehoeksmeting","52A","Gemeten, diff. GPS, 1 - 5m","23.7","Onbekend",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KWALITEIT gegevens VAST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NITG-nr","Monster datum","Monster-nr","Deelmonster-nr","Meting nr","Bovenkant monster (m tov MV)","Onderkant monster (m tov MV)","Al (%)","Ba (mg/kg)","Ca (mg/kg)","Ce (mg/kg)","Cr (mg/kg)","Cu (mg/kg)","Fe (mg/kg)","K (mg/kg)","Li (mg/kg)","Mg (mg/kg)","Mn (mg/kg)","Na (mg/kg)","Ni (mg/kg)","P (mg/kg)","S (mg/kg)","Sr (mg/kg)","TGA(105-450) (%)","TGA(450-550) (%)","Ti (mg/kg)","V (mg/kg)","Y (mg/kg)","Zn (mg/kg)","Zr (mg/kg)"
"B52A0162",,"L1991-08-0208","1","1","0.4","1.0","0.843035","122.4345","584.8325","7.8302","8.0189","< 4","1857.2338","5475.5879","7.9434","287.171","40.7171","1003.2304","< 16","< 50","< 0","24.0548","","","1001.7512","< 6","3.6604","6.5661","53.6795"
"B52A0162",,"L1991-08-0208","2","1","0.4","1.0","","","","","","","","","","","","","","","","","0.15","< 0","","","","",""
"B52A0162",,"L1991-08-0209","1","1","1.0","2.0","0.622196","90.2246","290.352","8.5002","8.815","< 4","1463.3899","3620.909","9.278","289.7112","24.1673","62.3905","< 16","< 50","< 0","15.4004","","","749.5065","< 6","3.1667","6.0187","55.594"
"B52A0162",,"L1991-08-0209","2","1","1.0","2.0","","","","","","","","","","","","","","","","","0.05","0.02","","","","",""
"B52A0162",,"L1991-08-0210","1","1","2.0","3.0","0.470056","80.1901","236.2152","7.5147","< 6","< 4","1132.2875","2840.4929","7.482","74.0178","17.3379","226.8341","< 16","< 50","< 0","11.9024","","","502.0474","< 6","2.2593","< 4","22.4133"
"B52A0162",,"L1991-08-0210","2","1","2.0","3.0","","","","","","","","","","","","","","","","","0.03","< 0","","","","",""
"B52A0162",,"L1991-08-0211","1","1","4.0","5.0","0.73609","149.7755","353.3404","11.8698","6.3264","< 4","1703.897","5096.656","11.2378","198.7658","16.5526","439.3643","< 16","< 50","< 0","22.4151","","","524.0515","< 6","2.7389","8.5728","30.1142"
"B52A0162",,"L1991-08-0211","2","1","4.0","5.0","","","","","","","","","","","","","","","","","0.02","< 0","","","","",""
"B52A0162",,"L1991-08-0212","1","1","5.0","6.0","0.769869","184.4301","296.1049","14.0276","< 6","4.4248","1461.8271","6506.6622","12.1824","172.8879","15.1197","398.8735","< 16","< 50","< 0","23.8752","","","340.6543","< 6","2.6925","< 4","21.1073"
"B52A0162",,"L1991-08-0212","2","1","5.0","6.0","","","","","","","","","","","","","","","","","0.02","< 0","","","","",""
"B52A0162",,"L1991-08-0213","1","1","7.0","8.0","0.866491","186.8836","329.638","18.5788","7.2586","< 4","1978.577","6207.149","15.144","291.657","27.2484","586.9781","< 16","< 50","< 0","25.5643","","","434.1007","< 6","3.9321","12.2164","31.0791"
"B52A0162",,"L1991-08-0213","2","1","7.0","8.0","","","","","","","","","","","","","","","","","0.03","0.02","","","","",""
"B52A0162",,"L1991-08-0214","1","1","8.0","8.5","0.868788","191.4929","318.7651","11.9987","< 6","< 4","1289.8293","7919.4953","15.2547","144.0559","11.459","667.0681","< 16","< 50","< 0","28.5485","","","314.052","< 6","2.7343","< 4","21.245"
"B52A0162",,"L1991-08-0214","2","1","8.0","8.5","","","","","","","","","","","","","","","","","0.02","< 0","","","","",""
"B52A0162",,"L1991-08-0215","1","1","8.5","9.5","5.612266","273.182","6394.3572","57.1981","73.9652","26.7429","43485.3128","18783.9702","59.5733","10409.3318","1098.323","2748.0772","42.4191","518.1697","< 0","65.4145","","","3457.1753","91.7703","26.4262","70.9918","71.4316"
"B52A0162",,"L1991-08-0215","2","1","8.5","9.5","","","","","","","","","","","","","","","","","0.71","2.7","","","","",""
"B52A0162",,"L1991-08-0216","1","1","10.5","11.0","3.803858","312.8862","2432.2507","39.5707","50.6284","14.5154","13752.145","16009.3969","35.2808","5328.6439","163.0906","2171.3242","37.6292","137.9429","< 0","56.6934","","","1954.9795","52.1446","16.1426","28.0878","40.1625"
"B52A0162",,"L1991-08-0216","2","1","10.5","11.0","","","","","","","","","","","","","","","","","0.29","0.14","","","","",""
"B52A0162",,"L1991-08-0217","1","1","11.0","12.0","2.051919","236.8867","1360.9609","26.6156","22.464","5.4975","7064.4208","11990.5489","25.573","1651.7234","52.7005","1977.5942","19.848","57.3639","< 0","49.1745","","","890.0691","21.2508","9.4406","< 4","26.2554"
"B52A0162",,"L1991-08-0217","2","1","11.0","12.0","","","","","","","","","","","","","","","","","0.15","0.01","","","","",""
"B52A0162",,"L1991-08-0218","1","1","13.0","14.0","0.977989","181.5804","304.0419","10.1053","6.6492","< 4","1673.6801","8280.4522","18.7545","245.3353","12.4738","309.0902","< 16","< 50","< 0","30.5494","","","605.6996","< 6","3.807","8.0702","20.7896"
"B52A0162",,"L1991-08-0218","2","1","13.0","14.0","","","","","","","","","","","","","","","","","0.03","< 0","","","","",""
"B52A0162",,"L1991-08-0219","1","1","15.0","16.0","0.921774","193.931","270.382","6.4446","< 6","< 4","1281.9222","8291.5119","17.1116","279.4332","< 10","282.211","< 16","< 50","< 0","26.6859","","","235.6302","< 6","2.9816","6.1668","16.2597"
"B52A0162",,"L1991-08-0219","2","1","15.0","16.0","","","","","","","","","","","","","","","","","0.02","< 0","","","","",""
"B52A0162",,"L1991-08-0220","1","1","17.0","18.0","1.082874","185.0649","395.081","11.4308","8.0343","< 4","1748.2202","7911.5328","18.4134","341.8201","27.0856","475.2482","< 16","53.7911","< 0","31.6907","","","483.2118","7.4826","4.6033","12.5514","38.0854"
"B52A0162",,"L1991-08-0220","2","1","17.0","18.0","","","","","","","","","","","","","","","","","0.03","< 0","","","","",""
"B52A0162",,"L1991-08-0221","1","1","19.0","20.0","0.93395","345.8192","661.266","7.8505","< 6","< 4","1097.344","7649.676","17.1102","< 25","< 10","638.7963","< 16","< 50","< 0","41.269","","","309.6081","< 6","2.6116","6.6637","16.5535"
"B52A0162",,"L1991-08-0221","2","1","19.0","20.0","","","","","","","","","","","","","","","","","0.02","0.02","","","","",""
"B52A0162",,"L1991-08-0222","1","1","20.0","21.0","1.019854","224.0648","451.2889","8.8725","8.2672","< 4","1550.0085","8543.1039","15.0966","158.8923","16.3262","1135.0232","< 16","< 50","< 0","31.612","","","402.1021","< 6","3.0458","< 4","17.4235"
"B52A0162",,"L1991-08-0222","2","1","20.0","21.0","","","","","","","","","","","","","","","","","0.02","< 0","","","","",""
"B52A0162",,"L1991-08-0223","1","1","21.0","23.0","1.148489","170.6155","513.23","10.1855","9.241","< 4","2658.0136","8182.1572","17.8338","643.8686","31.9638","855.3","< 16","61.6544","< 0","27.8063","","","451.1951","< 6","3.5742","12.3707","22.2043"
"B52A0162",,"L1991-08-0223","2","1","21.0","23.0","","","","","","","","","","","","","","","","","0.02","0.02","","","","",""
"B52A0162",,"L1991-08-0224","1","1","23.0","24.0","0.971572","164.1048","585.2109","14.4138","6.9537","< 4","1660.4745","7844.253","16.4729","208.4433","22.6672","1265.8162","< 16","< 50","< 0","27.1567","","","387.1307","< 6","3.3081","< 4","17.435"
"B52A0162",,"L1991-08-0224","2","1","23.0","24.0","","","","","","","","","","","","","","","","","0.02","0.02","","","","",""
