nitraat,fosfaat,Temperatuur,Zuurgraad,BroID,analysedatum
0.01,0.03,,7.28,GAR000000013798,2006-05-23 12:00:00+02:00
0.14,0.01,10.8,7.08,GAR000000013799,2012-05-15 12:00:00+02:00
0.05,0.02,12.1,7.07,GAR000000013800,2015-07-16 12:00:00+02:00
0.05,0.05,11.6,8.19,GAR000000013801,2016-07-14 12:00:00+02:00
0.05,0.02,15.1,7.03,GAR000000013804,2013-07-17 12:00:00+02:00
0.08,0.03,14.8,7.1,GAR000000013805,2014-07-14 12:00:00+02:00
0.2,0.03,14.9,7.05,GAR000000013806,2015-07-16 12:00:00+02:00
0.05,0.05,11.8,8.1,GAR000000013807,2016-07-14 12:00:00+02:00
0.01,0.03,,7.22,GAR000000013810,2006-05-23 12:00:00+02:00
0.07,0.01,10.9,6.98,GAR000000013812,2012-05-15 12:00:00+02:00
0.05,0.01,13.3,6.95,GAR000000013813,2013-07-17 12:00:00+02:00
0.07,0.12,14.9,7.08,GAR000000013814,2014-07-14 12:00:00+02:00
0.07,0.12,13.6,7.03,GAR000000013815,2015-07-16 12:00:00+02:00
0.05,0.05,11.8,8.36,GAR000000013816,2016-07-14 12:00:00+02:00
0.05,0.05,14.1,7.02,GAR000000050907,2019-11-07 12:00:00+02:00
0.05,0.05,13.8,6.99,GAR000000050939,2019-11-07 12:00:00+02:00
0.05,0.05,13.6,6.99,GAR000000050962,2019-11-07 12:00:00+02:00
